epoch,lr,train_total,train_color,train_exposure,train_spatial,train_smooth_spa,train_smooth_temp,train_edge,train_ms_ssim,train_perception_temporal,train_perception_perceptual,train_warp_temporal,val_total,val_psnr,val_ssim,val_psnr_y,val_lpips,val_map50,vid_orb_keypoints,vid_homography_inlier_ratio,vid_flow_epe,epoch_time_sec
1,0.0001,1.6855480437040329,0.06387184512522072,0.4534720810294151,0.08572941142498748,0.0024104292392730714,0.0433304622605443,0.19333166042268277,0.03413416225910187,1.7630275806933642,1.5479210827827454,0.0433304622605443,1.4983594581998627,14.136188687949344,0.6134772485700147,14.200103250043146,0.2129618811967044,,,,,690.6440980709995
2,9.997557473810373e-05,1.8027549700260161,0.09526550223305821,0.44165987432003023,0.1096912249520421,0.0064053985595703125,0.04640462469831109,0.25695565603375436,0.027787028861045837,1.700780539122224,0.9837169582724571,0.04640462469831109,1.5233063862241547,15.199051544584076,0.6522900688237158,15.35669231414795,0.21076588897869505,,,,,801.2117427939993
3,9.990232305719946e-05,1.8467038514614105,0.0997569538012147,0.4369268245637417,0.1244434966981411,0.008346221923828124,0.05191304002404213,0.27930407000780105,0.014266471457481384,1.6093547711789609,0.9528944079816342,0.05191304002404213,1.502965995977665,15.55969027815194,0.6594775704474285,15.676145043866388,0.2093520312216775,,,,,688.456378629
4,9.978031724785248e-05,1.8519460359573365,0.09326971705239266,0.43592373982667926,0.1278500540867448,0.00909241714477539,0.053251922350376846,0.28687602712512017,0.010694570708274842,1.54897741214931,0.9486086694657803,0.053251922350376846,1.4896199436023319,16.207748281544653,0.6758073218937578,16.34791801715719,0.210595795692041,,,,,688.8573751530002
5,9.960967771506668e-05,1.8477802045822143,0.08532808741778135,0.4368148686647415,0.1272494413383305,0.009545195770263672,0.0538004273109138,0.28894660883545875,0.00982340590953827,1.4744294226646424,0.964030143225193,0.0538004273109138,1.4681622026295498,16.043549866511903,0.6699241004113493,16.46573627406153,0.21892452432677664,0.5951480542835982,143.4,0.9890330605967634,22.6665537071228,694.9554318379996
6,9.939057285945934e-05,1.8420526457309723,0.08067450857311487,0.43736090940833094,0.12610388282835483,0.009946221160888672,0.05406156483702362,0.288968602925539,0.008730146408081054,1.4226645864129066,0.9767981027781963,0.05406156483702362,1.462768874291716,15.894609763704498,0.6643818000267292,16.291323234295024,0.22319537349816027,,,,,690.330982206
7,9.912321891107012e-05,1.8314207875728608,0.07716153196170926,0.4363430570662022,0.12472787936478853,0.010273358154296875,0.05379496434591711,0.2876387605428696,0.008443811655044556,1.4011279624097048,0.9682121348917484,0.05379496434591711,1.4775629752668842,16.49098636364115,0.6852416827760893,16.727442741394043,0.22749065029723892,,,,,689.4863886459989
8,9.880787971596802e-05,1.810031898188591,0.07248969389032572,0.43626460458636285,0.11930925513878465,0.010584716796875,0.052993029287084936,0.28277547833919525,0.008915930795669555,1.4009070152163505,0.9538127981424331,0.052993029287084936,1.4638172819696624,16.375776011368323,0.6790283558697536,16.73339138359859,0.2288901199554575,,,,,689.0746966049992
9,9.844486647586726e-05,1.812070371747017,0.07008999369535596,0.4355685206055641,0.12133370228782296,0.01098804473876953,0.05369557624459267,0.28466012488007547,0.007352353000640869,1.3682786615669726,0.9613786144554615,0.05369557624459267,1.4660047590732574,16.620758073083287,0.6878550237622755,17.399910055357836,0.23329394297866984,,,,,688.9682886209994
10,9.80345374410087e-05,1.8028743640899658,0.06690668579619378,0.4350293844640255,0.1193616189070046,0.01146865692138672,0.053738279457390306,0.2840358081281185,0.006689956021308899,1.3509019277229906,0.9557050293564796,0.053738279457390306,1.4552380473449313,16.557370646246547,0.6838181409342535,17.145439493245092,0.2352988800868906,0.5733097176189008,146.8875,0.9882032989111422,24.168588495254518,693.8367729019992
11,9.757729755661012e-05,1.8047616335868835,0.06636282725669444,0.4343355986356735,0.12073174277991057,0.011880799865722656,0.05427313707880676,0.2845910557806492,0.006078195261955261,1.323142145523429,0.9625392011880874,0.05427313707880676,1.4435582438419605,16.57504515812315,0.6824321520739588,17.284375979982574,0.23965527399860578,,,,,688.6190632180005
12,9.707359806323419e-05,1.7998353385925292,0.06484953566053882,0.4339873598217964,0.11969884577021003,0.012314958190917968,0.05422570785395801,0.2840239015698433,0.005829437708854675,1.307324553978443,0.953526825016737,0.05422570785395801,1.4404690933638606,16.74935405007724,0.6886362130271977,17.529715373598297,0.2390956363544382,,,,,688.856293625
13,9.652393605146847e-05,1.7943450715065001,0.06345974843986332,0.433541086935997,0.11822434401065111,0.012663719177246093,0.05388881351053715,0.2838126555740833,0.0063299160480499266,1.3110927090466022,0.930884214925766,0.05388881351053715,1.4494443422761456,16.685071123057398,0.6890793514662775,17.618540648756355,0.24455674095400448,,,,,688.8218018449988
14,9.592885397135708e-05,1.7980134741067886,0.06373036559652537,0.4329397869884968,0.11983975394815206,0.013052175903320312,0.054218253030627966,0.2851504558503628,0.005614997887611389,1.2880164261132478,0.9358635835051536,0.054218253030627966,1.4531329253624226,16.565508957566887,0.688604356913731,17.261921307136273,0.2452726049412941,,,,,688.5973435369997
15,9.5288939097068e-05,1.792996631860733,0.06269227374549956,0.4327711788535118,0.11887104895412921,0.013337060546875,0.054229287398979066,0.2833243382930756,0.005514338994026184,1.279276663044095,0.926166426128149,0.054229287398979066,1.4450700766053692,16.5587169055281,0.6874760492094631,17.510618867545293,0.244575387701906,0.5516838952251103,148.6775,0.9867302927687828,24.751243391036986,693.5504323349996
16,9.460482294732424e-05,1.7933209226369857,0.06064195694308728,0.43187830486297607,0.11983062276393175,0.01381715545654297,0.05448013346865773,0.2844565874934196,0.006087950754165649,1.2549511129304767,0.9243285701155662,0.05448013346865773,1.4453746953914905,16.314483872775373,0.6778055804556814,17.07989972213219,0.2467747805961247,,,,,733.0159189639999
17,9.387718066217127e-05,1.7920311496257781,0.0619057774817571,0.43181404997706413,0.11910925209075213,0.014098422241210938,0.05447381951585412,0.28363056535720826,0.005695118474960327,1.2278017244637012,0.931195301938057,0.05447381951585412,1.447787681530262,16.603589633415485,0.6895223583640724,17.45317066126856,0.2482692578743244,,,,,687.8260450470007
18,9.310673033669524e-05,1.7936323854207992,0.061255630999617276,0.4314101698756218,0.12043828267231584,0.014381756591796874,0.05415879654325545,0.28454692662358283,0.005728490257263184,1.2051714553520083,0.9253103921055794,0.05415879654325545,1.4433333216042354,16.365112617098053,0.6805041714988905,17.1799802944578,0.24612268921116304,,,,,687.620091439001
19,9.229423231234978e-05,1.7941077764987945,0.05962219582144171,0.4325438596010208,0.12028234557509422,0.014651152038574219,0.053666062566637994,0.2842698984861374,0.0063080692529678345,1.1992994796961547,0.9191067685246468,0.053666062566637994,1.4475567916343952,17.031558694510625,0.7002703208347847,17.99452640270365,0.2430968353974408,,,,,688.1107897639995
20,9.144048842659084e-05,1.7857141837120056,0.05821976246815175,0.4313338584780693,0.11880054108202458,0.015046095275878905,0.053639411764964465,0.2830298519968987,0.006203921794891357,1.1953693041950464,0.9119871134996415,0.053639411764964465,1.4512323110268033,17.083632370521283,0.7029143458810346,18.035223401826002,0.24016484566803636,0.5218484217705934,155.94,0.9881377196475131,32.49008071899414,693.3140453880005
21,9.054634122155993e-05,1.7855974744796752,0.05713914266023785,0.4309915227234364,0.11956261597275734,0.015240037536621094,0.0536624372176826,0.28311697281599046,0.006172408771514893,1.1764141736596823,0.9123765483498574,0.0536624372176826,1.456991246034359,16.814035925371893,0.6950581572179136,17.632825736341804,0.24718916840080557,,,,,687.6815878630005
22,8.961267311259669e-05,1.7846110253095626,0.057717101765796544,0.4306352596282959,0.11929690389633178,0.015566511535644532,0.0536616760071367,0.28271642690896986,0.0061056776762008665,1.1564054708465934,0.9140070341348648,0.0536616760071367,1.4473815293147647,16.76821337075069,0.6956135697405914,17.89729542567812,0.24621341030659347,,,,,687.8915779310009
23,8.864040551740159e-05,1.7817911736011505,0.05462447871519253,0.43060940870046616,0.11891083061993123,0.015830633544921875,0.053212918900325895,0.28317291411757467,0.007392127871513367,1.168881827686727,0.909617060983181,0.053212918900325895,1.4566977815381412,16.427870109163482,0.6851869189533694,17.418823340843463,0.2489706538617611,,,,,687.8832908570002
24,8.763049794670778e-05,1.7845369621038436,0.05654837099546567,0.4305543277680874,0.11985834515094757,0.01606949157714844,0.0534611030112952,0.2829008284151554,0.005993555521965027,1.1345079340964557,0.9098480132579804,0.0534611030112952,1.456361589760616,17.081861035577184,0.7043611648781546,18.206100907819025,0.24060445535799552,,,,,687.9803776699991
25,8.65839470573599e-05,1.7790690574645995,0.05533269668165594,0.429172638964653,0.11882061699181795,0.01633008575439453,0.053315316246449945,0.2823555893301964,0.007847224569320679,1.1536927204549312,0.9073974148452282,0.053315316246449945,1.455383020228353,17.020764745514967,0.7033410596436468,18.06989752013108,0.2416052742507951,0.5063737250540568,158.465,0.9878092894390553,29.131527290344238,692.8989674600016
26,8.550178566873413e-05,1.783140003490448,0.055776916339062156,0.42947396563887597,0.11993247690349818,0.016696022033691405,0.05357379331551492,0.28318395668268204,0.006785654640197754,1.1162710396826268,0.9147312193095684,0.05357379331551492,1.4402744389813522,17.177630852008686,0.7047483319866246,18.09642161994145,0.2407643125745757,,,,,688.0250337239995
27,8.438508174347012e-05,1.7846801648139954,0.05605891526956111,0.4295077346086502,0.12003064092993736,0.01704515838623047,0.05380133834220469,0.28344774708747866,0.006695048618316651,1.0925554597139358,0.9184570772528649,0.05380133834220469,1.4445146486676972,17.001020990569017,0.7011766171660917,18.010621613469617,0.24325247455773683,,,,,688.1739136040014
28,8.32349373335208e-05,1.7781818177461624,0.05400653463248163,0.43002284155488013,0.11849173573255539,0.017103298950195314,0.05332870444878936,0.2818386078059673,0.006535393834114075,1.103341125407815,0.9044703443586827,0.05332870444878936,1.4385022048292488,16.90782930111063,0.6988236785962664,17.968840582617396,0.24419487152120162,,,,,710.0610756729984
29,8.205248749256017e-05,1.7745680011749267,0.054010713441856206,0.4285303780078888,0.11835077624320983,0.017264802551269533,0.053560633796826004,0.28166326512694356,0.006480457973480225,1.080418400555849,0.9012545291721821,0.053560633796826004,1.4399208251772255,17.331830764638966,0.7090677351787172,18.325559336563636,0.23707204697460965,,,,,1095.2831673810033
30,8.083889915582238e-05,1.7036685650587082,0.04811994607690722,0.4464909836053848,0.06386050294414163,0.017006204223632814,0.0498832298502326,0.20866003243327141,0.008329685211181641,1.1797503643803298,1.092159904128313,0.0498832298502326,1.4921086718296181,15.906566652758368,0.6583124060055305,16.71194939777769,0.24316507963270978,0.5269804037459519,153.7625,0.987521831466717,22.647272834777834,793.5309102479987
